AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0378,0.0301,0.0039,0.1731
GEMLİK,0.0007,0.0009,0.0036,0.0038
GÜRSU,0.0016,0.0011,0.0011,0.006
HARMANCIK,0.5,0.5,0.0031,0.5
KARACABEY,0.0027,0.0059,0.0013,0.0163
KELES,0.5,0.2124,0.0097,0.8649
KESTEL,0.0,0.0005,0.0013,0.0061
MUDANYA,0.0,0.0013,0.0006,0.001
MUSTAFAKEMALPAŞA,0.0024,0.006,0.0013,0.0073
NİLÜFER,0.0013,0.0072,0.0037,0.0214
ORHANELİ,0.1694,0.0295,0.0039,0.1525
ORHANGAZİ,0.0007,0.0014,0.0021,0.0162
OSMANGAZİ,0.0,0.0019,0.0025,0.0483
YENİŞEHİR,0.0,0.0003,0.0029,0.5
YILDIRIM,0.0,0.0003,0.0014,0.0056
İNEGÖL,0.0122,0.0149,0.0036,0.047
İZNİK,0.003,0.0016,0.004,0.0156
