AD,min1,min2,min3,min4
BÜYÜKORHAN,0.8542,0.5,0.5,0.3125
GEMLİK,0.0036,0.003,0.0162,0.0077
GÜRSU,0.0154,0.0128,0.0535,0.0357
HARMANCIK,0.9525,0.2371,0.7191,0.5
KARACABEY,0.0089,0.012,0.0495,0.1503
KELES,0.9895,0.926,0.9624,0.8643
KESTEL,0.0061,0.0094,0.0468,0.0331
MUDANYA,0.0002,0.0022,0.0082,0.0079
MUSTAFAKEMALPAŞA,0.0099,0.0128,0.0501,0.0782
NİLÜFER,0.041,0.0141,0.1226,0.0987
ORHANELİ,0.5,0.2331,0.25,0.5
ORHANGAZİ,0.0137,0.0133,0.052,0.0838
OSMANGAZİ,0.001,0.0309,0.0302,0.0206
YENİŞEHİR,0.5,0.0627,0.733,0.2993
YILDIRIM,0.0021,0.0036,0.0131,0.0054
İNEGÖL,0.5,0.0367,0.2851,0.1862
İZNİK,0.0189,0.0128,0.0552,0.0732
