AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0072,0.1194,0.0649,0.0333
GEMLİK,0.0005,0.0013,0.0044,0.0011
GÜRSU,0.001,0.0075,0.008,0.0018
HARMANCIK,0.0041,0.3059,0.5707,0.4606
KARACABEY,0.0,0.0031,0.0068,0.007
KELES,0.2156,0.8409,0.593,0.6778
KESTEL,0.0,0.0049,0.0082,0.0022
MUDANYA,0.0,0.0015,0.0016,0.0003
MUSTAFAKEMALPAŞA,0.0001,0.0074,0.0071,0.0059
NİLÜFER,0.0002,0.0177,0.0216,0.0176
ORHANELİ,0.0033,0.0132,0.0623,0.065
ORHANGAZİ,0.0004,0.0031,0.0089,0.0023
OSMANGAZİ,0.0,0.0149,0.0066,0.0073
YENİŞEHİR,0.0005,0.0236,0.053,0.0553
YILDIRIM,0.0,0.002,0.0022,0.0004
İNEGÖL,0.0012,0.0487,0.084,0.0849
İZNİK,0.0021,0.0017,0.0129,0.0031
