AD,min1,min2,min3,min4
BÜYÜKORHAN,0.0346,0.4708,0.242,0.0792
GEMLİK,0.0011,0.0029,0.0072,0.002
GÜRSU,0.0027,0.0271,0.0228,0.0052
HARMANCIK,0.0406,0.7412,0.8573,0.6707
KARACABEY,0.0001,0.0109,0.0205,0.0147
KELES,0.838,0.9722,0.9028,0.8533
KESTEL,0.0001,0.0225,0.0211,0.0054
MUDANYA,0.0,0.004,0.0039,0.0008
MUSTAFAKEMALPAŞA,0.0002,0.0275,0.0208,0.0143
NİLÜFER,0.0005,0.0775,0.0566,0.0436
ORHANELİ,0.0143,0.076,0.229,0.1426
ORHANGAZİ,0.0015,0.0119,0.0235,0.0059
OSMANGAZİ,0.0001,0.0788,0.0152,0.0187
YENİŞEHİR,0.0245,0.1882,0.2488,0.1391
YILDIRIM,0.0002,0.0081,0.0044,0.001
İNEGÖL,0.0109,0.2253,0.2665,0.1769
İZNİK,0.0037,0.0052,0.0279,0.0067
